phi0_omega_k,phi1_u_k,phi2_bias,y_omega_k1
3.97468710,0.76000005,1.00000000,4.92861223
4.92861223,0.80000007,1.00000000,6.04152441
6.04152441,0.84000009,1.00000000,6.99544907
6.99544907,0.85000002,1.00000000,7.94937420
7.94937420,0.85000002,1.00000000,8.42633629
8.42633629,0.85000002,1.00000000,8.74431133
8.74431133,0.85000002,1.00000000,8.90329933
8.90329933,0.85000002,1.00000000,8.74431133
8.74431133,0.85000002,1.00000000,8.90329933
8.90329933,0.85000002,1.00000000,9.06228733
9.06228733,0.85000002,1.00000000,8.90329933
8.90329933,0.85000002,1.00000000,8.90329933
8.90329933,0.85000002,1.00000000,9.06228733
9.06228733,0.85000002,1.00000000,8.90329933
8.90329933,0.85000002,1.00000000,9.06228733
9.06228733,0.81000000,1.00000000,8.74431133
8.74431133,0.76999998,1.00000000,8.42633629
8.42633629,0.72999996,1.00000000,7.94937420
7.94937420,0.68999994,1.00000000,7.63139963
7.63139963,0.64999992,1.00000000,7.31342459
7.31342459,0.60999990,1.00000000,6.83646202
6.83646202,0.56999987,1.00000000,6.35949945
6.35949945,0.52999985,1.00000000,6.04152441
6.04152441,0.48999986,1.00000000,5.72354937
5.72354937,0.44999987,1.00000000,5.40557480
5.40557480,0.40999988,1.00000000,4.92861223
4.92861223,0.36999989,1.00000000,4.61063719
4.61063719,0.32999989,1.00000000,4.13367462
4.13367462,0.28999990,1.00000000,3.81569982
3.81569982,0.24999991,1.00000000,3.49772453
3.49772453,0.28999990,1.00000000,3.02076221
3.02076221,0.32999989,1.00000000,2.70278740
2.70278740,0.36999989,1.00000000,2.38481236
2.38481236,0.40999988,1.00000000,2.22582483
2.22582483,0.44999987,1.00000000,1.90784991
1.90784991,0.48999986,1.00000000,1.74886227
1.74886227,0.52999985,1.00000000,1.58987486
1.58987486,0.56999987,1.00000000,1.43088734
1.43088734,0.60999990,1.00000000,1.74886227
1.74886227,0.64999992,1.00000000,2.22582483
2.22582483,0.68999994,1.00000000,3.33873725
3.33873725,0.69999999,1.00000000,3.97468710
3.97468710,0.69999999,1.00000000,4.45164967
4.45164967,0.69999999,1.00000000,4.61063719
4.61063719,0.69999999,1.00000000,4.76962471
4.76962471,0.69999999,1.00000000,4.76962471
4.76962471,0.69999999,1.00000000,4.76962471
4.76962471,0.69999999,1.00000000,4.92861223
4.92861223,0.69999999,1.00000000,4.76962471
4.76962471,0.69999999,1.00000000,4.92861223
4.92861223,0.69999999,1.00000000,4.76962471
4.76962471,0.69999999,1.00000000,4.76962471
4.76962471,0.65999997,1.00000000,4.76962471
4.76962471,0.61999995,1.00000000,4.45164967
4.45164967,0.57999992,1.00000000,4.13367462
4.13367462,0.53999990,1.00000000,3.97468710
3.97468710,0.49999991,1.00000000,3.49772453
3.49772453,0.45999992,1.00000000,3.33873725
3.33873725,0.41999993,1.00000000,3.17974973
3.17974973,0.37999994,1.00000000,2.70278740
2.70278740,0.33999994,1.00000000,2.54379964
2.54379964,0.29999995,1.00000000,2.06683731
2.06683731,0.25999996,1.00000000,1.90784991
1.90784991,0.21999997,1.00000000,1.58987486
1.58987486,0.17999998,1.00000000,1.11291242
1.11291242,0.13999999,1.00000000,0.95392495
0.95392495,0.09999999,1.00000000,0.63594991
0.63594991,0.05999999,1.00000000,0.31797495
0.31797495,0.01999999,1.00000000,0.15898748
0.15898748,-0.02000001,1.00000000,0.00000000
0.00000000,-0.06000001,1.00000000,0.00000000
0.00000000,-0.10000001,1.00000000,0.00000000
0.00000000,-0.14000002,1.00000000,0.00000000
0.00000000,-0.18000001,1.00000000,0.00000000
0.00000000,-0.22000000,1.00000000,0.00000000
0.00000000,-0.25999999,1.00000000,0.00000000
0.00000000,-0.29999998,1.00000000,0.00000000
0.00000000,-0.33999997,1.00000000,-0.15898748
-0.15898748,-0.37999997,1.00000000,0.00000000
0.00000000,-0.41999996,1.00000000,0.00000000
0.00000000,-0.45999995,1.00000000,0.00000000
0.00000000,-0.49999994,1.00000000,0.00000000
0.00000000,-0.53999996,1.00000000,0.00000000
0.00000000,-0.57999998,1.00000000,-0.63594991
-0.63594991,-0.62000000,1.00000000,-1.43088734
-1.43088734,-0.66000003,1.00000000,-2.38481236
-2.38481236,-0.70000005,1.00000000,-3.49772453
-3.49772453,-0.74000007,1.00000000,-4.45164967
-4.45164967,-0.78000009,1.00000000,-5.56456184
-5.56456184,-0.82000011,1.00000000,-6.67747450
-6.67747450,-0.85000002,1.00000000,-7.79038668
-7.79038668,-0.85000002,1.00000000,-8.42633629
-8.42633629,-0.85000002,1.00000000,-8.58532429
-8.58532429,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.81000000,1.00000000,-9.06228733
-9.06228733,-0.76999998,1.00000000,-8.74431133
-8.74431133,-0.72999996,1.00000000,-8.42633629
-8.42633629,-0.68999994,1.00000000,-7.94937420
-7.94937420,-0.64999992,1.00000000,-7.47241163
-7.47241163,-0.60999990,1.00000000,-7.15443707
-7.15443707,-0.56999987,1.00000000,-6.83646202
-6.83646202,-0.52999985,1.00000000,-6.35949945
-6.35949945,-0.48999986,1.00000000,-6.04152441
-6.04152441,-0.44999987,1.00000000,-5.72354937
-5.72354937,-0.40999988,1.00000000,-5.24658728
-5.24658728,-0.36999989,1.00000000,-4.92861223
-4.92861223,-0.32999989,1.00000000,-4.61063719
-4.61063719,-0.28999990,1.00000000,-4.13367462
-4.13367462,-0.24999991,1.00000000,-3.81569982
-3.81569982,-0.20999992,1.00000000,-3.49772453
-3.49772453,-0.16999993,1.00000000,-3.17974973
-3.17974973,-0.12999994,1.00000000,-2.54379964
-2.54379964,-0.08999994,1.00000000,-2.38481236
-2.38481236,-0.04999994,1.00000000,-2.06683731
-2.06683731,-0.00999994,1.00000000,-1.58987486
-1.58987486,0.00000000,1.00000000,-1.27189982
-1.27189982,0.00000000,1.00000000,-0.95392495
-0.95392495,-0.04000000,1.00000000,-0.47696248
-0.47696248,-0.08000000,1.00000000,-0.31797495
-0.31797495,-0.12000000,1.00000000,0.00000000
0.00000000,-0.16000000,1.00000000,0.00000000
0.00000000,-0.19999999,1.00000000,0.00000000
0.00000000,-0.23999998,1.00000000,0.00000000
0.00000000,-0.27999997,1.00000000,0.00000000
0.00000000,-0.31999996,1.00000000,0.00000000
0.00000000,-0.35999995,1.00000000,0.00000000
0.00000000,-0.39999995,1.00000000,0.00000000
0.00000000,-0.43999994,1.00000000,0.00000000
0.00000000,-0.47999993,1.00000000,0.00000000
0.00000000,-0.51999992,1.00000000,0.00000000
0.00000000,-0.55999994,1.00000000,-0.47696248
-0.47696248,-0.59999996,1.00000000,-0.95392495
-0.95392495,-0.63999999,1.00000000,-2.06683731
